                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.43507,                0.19983,                0.84444,                0.99149,                 0.9924,                0.99362,                0.89347,                0.56048,                0.20815,                0.90028,              0.0003763,              0.0003763,              0.0003763
                     65,                0.43781,                0.19872,                0.83998,                0.99025,                0.99331,                0.99373,                0.89341,                0.56066,                0.20803,                0.88983,              0.0003664,              0.0003664,              0.0003664
                     66,                0.43382,                0.19642,                0.84196,                0.99168,                0.99271,                0.99363,                0.89402,                0.56242,                0.20901,                0.88956,              0.0003565,              0.0003565,              0.0003565
                     67,                0.43301,                0.19976,                 0.8381,                0.98929,                0.99483,                0.99363,                0.89485,                 0.5586,                 0.2096,                0.89137,              0.0003466,              0.0003466,              0.0003466
                     68,                0.42783,                0.19369,                0.83943,                0.98853,                0.99556,                 0.9939,                0.89564,                0.55865,                0.20748,                0.89201,              0.0003367,              0.0003367,              0.0003367
                     69,                0.42917,                0.19528,                0.83911,                0.98911,                0.99377,                0.99384,                 0.8944,                0.56107,                0.21079,                0.89754,              0.0003268,              0.0003268,              0.0003268
                     70,                0.43183,                0.19832,                0.84529,                 0.9898,                0.99271,                0.99354,                0.89517,                0.56185,                0.20993,                0.90683,              0.0003169,              0.0003169,              0.0003169
                     71,                0.42868,                0.19894,                0.84101,                 0.9912,                0.99242,                0.99361,                0.89301,                 0.5665,                0.20909,                0.91047,               0.000307,               0.000307,               0.000307
                     72,                0.42413,                0.19641,                0.84195,                0.98941,                0.99378,                0.99393,                0.89351,                0.56255,                0.20877,                0.92227,              0.0002971,              0.0002971,              0.0002971
                     73,                0.41975,                0.19255,                 0.8436,                0.98852,                0.99461,                0.99367,                0.89621,                0.55596,                0.21126,                0.92108,              0.0002872,              0.0002872,              0.0002872
                     74,                0.41681,                0.19526,                0.84376,                0.99063,                0.99422,                0.99392,                0.89414,                0.56095,                0.21009,                0.92375,              0.0002773,              0.0002773,              0.0002773
                     75,                0.41621,                0.19294,                0.84291,                0.98888,                0.99422,                0.99398,                0.89553,                0.56029,                0.20927,                0.92091,              0.0002674,              0.0002674,              0.0002674
                     76,                0.42241,                0.19582,                0.84601,                0.98943,                0.99552,                0.99374,                0.89591,                0.55776,                0.20827,                0.92721,              0.0002575,              0.0002575,              0.0002575
                     77,                0.42118,                0.19466,                 0.8423,                0.98809,                0.99514,                0.99401,                0.89589,                0.56027,                0.20768,                0.92156,              0.0002476,              0.0002476,              0.0002476
                     78,                0.40464,                0.18715,                0.83949,                0.98811,                0.99544,                0.99389,                 0.8943,                0.56045,                0.20766,                0.92164,              0.0002377,              0.0002377,              0.0002377
                     79,                0.41271,                0.19252,                 0.8399,                0.98906,                0.99514,                0.99381,                  0.894,                0.56033,                0.20742,                0.91315,              0.0002278,              0.0002278,              0.0002278
                     80,                0.41233,                 0.1901,                0.84175,                0.98931,                0.99483,                0.99398,                0.89409,                0.56356,                0.20597,                0.91333,              0.0002179,              0.0002179,              0.0002179
                     81,                0.40884,                0.18814,                0.83794,                0.99149,                 0.9918,                0.99369,                0.89476,                0.56428,                0.20762,                0.91033,               0.000208,               0.000208,               0.000208
                     82,                0.40813,                0.18899,                0.83546,                0.98765,                0.99624,                0.99371,                0.89296,                0.56452,                0.20674,                0.90731,              0.0001981,              0.0001981,              0.0001981
                     83,                0.40148,                0.18317,                0.83806,                0.98784,                0.99635,                0.99384,                0.89415,                0.56269,                0.20534,                0.91069,              0.0001882,              0.0001882,              0.0001882
                     84,                0.40188,                0.18454,                0.83479,                 0.9894,                0.99314,                0.99372,                0.89497,                0.56326,                0.20716,                0.91137,              0.0001783,              0.0001783,              0.0001783
                     85,                0.40409,                0.18576,                 0.8372,                0.98971,                0.99331,                0.99396,                0.89392,                0.56249,                0.20751,                0.91438,              0.0001684,              0.0001684,              0.0001684
                     86,                0.40174,                0.18406,                0.83339,                 0.9897,                0.99329,                0.99395,                0.89509,                0.56072,                 0.2056,                0.91355,              0.0001585,              0.0001585,              0.0001585
                     87,                0.40209,                0.18437,                0.83625,                0.98998,                0.99362,                0.99381,                0.89531,                0.56149,                 0.2065,                0.91275,              0.0001486,              0.0001486,              0.0001486
                     88,                0.40457,                0.18532,                0.83703,                0.98772,                0.99605,                 0.9939,                0.89422,                0.56296,                 0.2074,                0.91538,              0.0001387,              0.0001387,              0.0001387
                     89,                0.40055,                0.18348,                0.83624,                0.98912,                0.99506,                0.99395,                0.89508,                0.56021,                0.20664,                0.91862,              0.0001288,              0.0001288,              0.0001288
                     90,                0.39376,                0.17948,                0.83311,                0.98987,                0.99362,                0.99392,                0.89453,                0.56456,                0.20676,                0.91653,              0.0001189,              0.0001189,              0.0001189
                     91,                0.38672,                0.16871,                0.82346,                0.98823,                0.99516,                0.99402,                0.89702,                0.54903,                 0.2035,                 0.9138,               0.000109,               0.000109,               0.000109
                     92,                0.37521,                0.16581,                0.81715,                0.99061,                0.99402,                0.99398,                0.89916,                0.54748,                0.20141,                0.91196,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.36773,                0.16165,                 0.8151,                0.99091,                0.99367,                0.99403,                0.89978,                0.54678,                0.20151,                0.90889,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.37051,                0.16219,                0.81885,                0.99181,                0.99353,                0.99411,                0.89921,                0.54695,                0.20347,                0.90972,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.36452,                0.15973,                0.81574,                0.98942,                0.99512,                0.99408,                0.89969,                0.54605,                0.20113,                 0.9088,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.36235,                0.16029,                0.81659,                0.99091,                0.99384,                0.99405,                0.89975,                0.54777,                 0.2003,                 0.9085,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                 0.3629,                0.16008,                0.81489,                0.99092,                0.99466,                0.99409,                0.90023,                0.54647,                0.20069,                0.90639,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.36285,                0.15849,                0.81469,                0.99052,                0.99392,                0.99398,                0.90022,                0.54562,                0.19946,                0.90611,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.35732,                0.15622,                 0.8162,                0.99021,                0.99392,                0.99406,                0.90119,                0.54496,                0.20047,                0.90561,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.35805,                0.15846,                0.81305,                0.99061,                 0.9945,                0.99405,                0.90034,                 0.5449,                0.19998,                0.90556,               1.99e-05,               1.99e-05,               1.99e-05
